timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-01-01 00:00:00,42283.578125,42775.0,42230.078125,42330.48828125,3948.083251953125,2024-01-01 03:59:59.999,167818576.0,166013,2040.2587890625,86727072.0
2024-01-01 04:00:00,42330.5,42500.0,42180.76953125,42492.4609375,2706.998779296875,2024-01-01 07:59:59.999,114643200.0,128552,1385.792724609375,58687456.0
2024-01-01 08:00:00,42492.4609375,42762.390625,42452.578125,42690.19921875,2948.802734375,2024-01-01 11:59:59.999,125745888.0,137484,1523.2569580078125,64959472.0
2024-01-01 12:00:00,42690.2109375,42847.0703125,42580.0,42783.05078125,2936.444091796875,2024-01-01 15:59:59.999,125358720.0,148756,1496.3509521484375,63877512.0
2024-01-01 16:00:00,42783.05078125,43550.0,42664.421875,43517.98828125,5686.9716796875,2024-01-01 19:59:59.999,244970560.0,242235,3016.448974609375,129952008.0
2024-01-01 20:00:00,43517.98046875,44184.1015625,43361.6015625,44179.55078125,8946.998046875,2024-01-01 23:59:59.999,391458752.0,291583,4869.62353515625,213148576.0
2024-01-02 00:00:00,44179.55078125,45500.0,44148.33984375,45402.37890625,17093.287109375,2024-01-02 03:59:59.999,767967104.0,538797,9741.98828125,437556224.0
2024-01-02 04:00:00,45402.37890625,45643.75,45121.9609375,45455.53125,8388.4228515625,2024-01-02 07:59:59.999,380172672.0,272747,4152.58349609375,188207520.0
2024-01-02 08:00:00,45455.51953125,45879.62890625,45200.0,45433.98828125,10027.39453125,2024-01-02 11:59:59.999,457314272.0,345836,4898.0556640625,223402976.0
2024-01-02 12:00:00,45433.98828125,45800.0,44833.328125,45184.8203125,13236.12890625,2024-01-02 15:59:59.999,600137216.0,434612,6634.978515625,300863232.0
2024-01-02 16:00:00,45184.828125,45399.83984375,44790.9609375,45039.48828125,9745.6044921875,2024-01-02 19:59:59.999,439524928.0,382856,5014.55517578125,226181168.0
2024-01-02 20:00:00,45039.48828125,45297.26171875,44600.0,44946.91015625,6655.56884765625,2024-01-02 23:59:59.999,299215584.0,272684,3374.982666015625,151752992.0
2024-01-03 00:00:00,44946.91015625,45410.91015625,44862.109375,45262.69140625,4750.68603515625,2024-01-03 03:59:59.999,214685696.0,192132,2111.46142578125,95408640.0
2024-01-03 04:00:00,45262.69921875,45384.83984375,44940.9296875,45011.76953125,4691.115234375,2024-01-03 07:59:59.999,212059728.0,177168,2193.42529296875,99152272.0
2024-01-03 08:00:00,45011.76953125,45500.0,43500.0,43702.87890625,13237.52734375,2024-01-03 11:59:59.999,591986432.0,467869,5794.82568359375,259196320.0
2024-01-03 12:00:00,43702.890625,43716.0,40750.0,43000.01171875,35484.15234375,2024-01-03 15:59:59.999,1501608192.0,1070151,17330.189453125,733627136.0
2024-01-03 16:00:00,43000.01171875,43567.921875,42000.0,42596.671875,16895.341796875,2024-01-03 19:59:59.999,724424448.0,541788,8556.20703125,366975648.0
2024-01-03 20:00:00,42596.66015625,42966.26953125,42518.69921875,42845.23046875,6135.72900390625,2024-01-03 23:59:59.999,262340144.0,208933,3117.8828125,133305232.0
2024-01-04 00:00:00,42845.23046875,43220.55859375,42613.76953125,43102.80078125,5488.138671875,2024-01-04 03:59:59.999,235508704.0,202297,2617.707763671875,112325512.0
2024-01-04 04:00:00,43102.7890625,43273.078125,42756.96875,42763.078125,5443.396484375,2024-01-04 07:59:59.999,234500560.0,229597,2412.515380859375,103944752.0
2024-01-04 08:00:00,42763.078125,43233.80859375,42616.28125,43176.3203125,6746.40966796875,2024-01-04 11:59:59.999,289821664.0,291681,3149.036865234375,135305312.0
2024-01-04 12:00:00,43176.328125,44329.98828125,43097.05859375,44051.1015625,11599.009765625,2024-01-04 15:59:59.999,506197344.0,438640,6024.9814453125,262922672.0
2024-01-04 16:00:00,44051.1015625,44437.5,43777.859375,43956.48046875,9399.521484375,2024-01-04 19:59:59.999,413991296.0,334627,4515.48779296875,198903392.0
2024-01-04 20:00:00,43956.48046875,44729.578125,43890.8984375,44151.1015625,9361.5869140625,2024-01-04 23:59:59.999,415075776.0,323102,4886.1708984375,216673616.0
2024-01-05 00:00:00,44151.1015625,44284.0,42450.0,43465.2109375,11721.5029296875,2024-01-05 03:59:59.999,510733664.0,420972,5577.45751953125,243020784.0
2024-01-05 04:00:00,43465.2109375,43926.0,43187.890625,43777.46875,4949.6103515625,2024-01-05 07:59:59.999,215887952.0,246256,2508.1318359375,109415712.0
